PLAYER_ID,player,pos,team,gp,g,a,p,soi,+/-
8481442,Brady Keeper,D,Florida Panthers,1,0,0,0,568,0
8470281,Duncan Keith,D,Chicago Blackhawks,54,4,11,15,75847,-13
8479343,Clayton Keller,R,Arizona Coyotes,56,14,21,35,55972,-5
8481516,Joel Kellman,C,San Jose Sharks,7,1,1,2,4484,-1
8480448,Parker Kelly,C,Ottawa Senators,1,1,0,1,452,1
8477960,Adrian Kempe,C,Los Angeles Kings,56,14,15,29,56893,-18
8477021,Alexander Kerfoot,C,Toronto Maple Leafs,56,8,15,23,48533,2
8478528,Tanner Kero,C,Dallas Stars,39,3,7,10,24803,0
8473548,Phil Kessel,R,Arizona Coyotes,56,20,23,43,57417,-17
8476915,Jujhar Khaira,L,Edmonton Oilers,40,3,8,11,28918,-1
8482641,Matt Kiersted,D,Florida Panthers,7,0,0,0,6372,-4
8473986,Alex Killorn,L,Tampa Bay Lightning,56,15,18,33,60163,-1
8481641,Joel Kiviranta,L,Dallas Stars,26,6,5,11,18991,3
8475906,John Klingberg,D,Dallas Stars,53,7,29,36,72173,-15
8481812,Nikolai Knyzhov,D,San Jose Sharks,56,2,8,10,56249,-9
8476886,Slater Koekkoek,D,Edmonton Oilers,18,1,0,1,14217,-7
8469459,Mikko Koivu,C,Columbus Blue Jackets,7,1,1,2,5234,-2
8478434,Keegan Kolesar,R,Vegas Golden Knights,44,3,10,13,25202,-4
8473463,Leo Komarov,R,New York Islanders,33,1,7,8,25408,7
8478439,Travis Konecny,R,Philadelphia Flyers,50,11,23,34,47688,-5
8471685,Anze Kopitar,C,Los Angeles Kings,56,13,37,50,71174,-7
8480011,Klim Kostin,C,St. Louis Blues,2,0,1,1,1656,-1
8480829,Jesperi Kotkaniemi,C,Montréal Canadiens,56,5,15,20,49717,-1
8480833,Vitali Kravtsov,R,New York Rangers,20,2,2,4,14876,-6
8481522,Peyton Krebs,C,Vegas Golden Knights,4,0,1,1,2744,1
8475184,Chris Kreider,L,New York Rangers,50,20,10,30,52192,-1
8471276,David Krejci,C,Boston Bruins,51,8,36,44,52432,16
8476792,Torey Krug,D,St. Louis Blues,51,2,30,32,68998,11
8477330,Dominik Kubalik,L,Chicago Blackhawks,56,17,21,38,52137,-3
8480901,Karson Kuhlman,C,Boston Bruins,20,2,0,2,12778,-6
8478567,Dean Kukan,D,Columbus Blue Jackets,35,1,4,5,29797,-3
8476967,Brett Kulak,D,Montréal Canadiens,46,2,6,8,44457,3
8475179,Dmitry Kulikov,D,"New Jersey Devils,Edmonton Oilers",48,0,4,4,55203,-3
8479316,Luke Kunin,C,Nashville Predators,38,10,9,19,31900,3
8479511,Janne Kuokkanen,L,New Jersey Devils,50,8,17,25,44323,-11
8480845,Rasmus Kupari,C,Los Angeles Kings,7,1,0,1,4818,-5
8476374,Sean Kuraly,C,Boston Bruins,47,4,5,9,39683,-10
8480798,Philipp Kurashev,C,Chicago Blackhawks,54,8,8,16,42373,-9
8475744,Evgeny Kuznetsov,C,Washington Capitals,41,9,20,29,40767,7
8478430,Oliver Kylington,D,Calgary Flames,8,0,1,1,6279,-1
8479385,Jordan Kyrou,C,St. Louis Blues,55,14,21,35,47599,1
8480769,Joel L'Esperance,C,Dallas Stars,12,2,0,2,6783,-2
8478099,Kevin Labanc,R,San Jose Sharks,55,12,16,28,54195,-9
8479550,Tanner Laczynski,C,Philadelphia Flyers,5,0,0,0,2993,1
8478043,Sam Lafferty,R,Pittsburgh Penguins,34,0,6,6,19943,-6
8482109,Alexis Lafrenière,L,New York Rangers,56,12,9,21,46645,-7
8478021,William Lagesson,D,Edmonton Oilers,19,0,2,2,16131,0
8479339,Patrik Laine,L,"Winnipeg Jets,Columbus Blue Jackets",46,12,12,24,48161,-28
8477996,Juho Lammikko,C,Florida Panthers,44,4,1,5,28594,-8
8476455,Gabriel Landeskog,L,Colorado Avalanche,54,20,32,52,64661,14
8477946,Dylan Larkin,C,Detroit Red Wings,44,9,14,23,53862,-14
8476457,Adam Larsson,D,Edmonton Oilers,56,4,6,10,66015,2
8478491,Jacob Larsson,D,Anaheim Ducks,46,1,6,7,47999,-9
8475728,Johan Larsson,L,Arizona Coyotes,52,8,6,14,43615,-13
8476872,Scott Laughton,C,Philadelphia Flyers,53,9,11,20,49037,13
8478468,Jeremy Lauzon,D,Boston Bruins,41,1,7,8,46028,8
8477508,Curtis Lazar,C,"Buffalo Sabres,Boston Bruins",50,7,6,13,39971,-6
8475181,Nick Leddy,D,New York Islanders,56,2,29,31,72543,-3
8475314,Anders Lee,L,New York Islanders,27,12,7,19,28392,11
8477476,Artturi Lehkonen,L,Montréal Canadiens,47,7,6,13,37855,-2
8482247,Mikko Lehtonen,D,"Toronto Maple Leafs,Columbus Blue Jackets",26,0,6,6,24774,-2
8476410,Josh Leivo,L,Calgary Flames,38,6,3,9,24509,-3
8477962,Brendan Lemieux,L,"New York Rangers,Los Angeles Kings",49,4,7,11,29789,-2
8481077,John Leonard,L,San Jose Sharks,44,3,10,13,29691,-7
8481105,Otto Leskinen,D,Montréal Canadiens,1,0,0,0,983,0
8471724,Kris Letang,D,Pittsburgh Penguins,55,7,38,45,81340,19
8479968,Vinni Lettieri,C,Anaheim Ducks,5,0,0,0,3816,-3
8477343,Tyler Lewington,D,Nashville Predators,2,0,1,1,1700,4
8473453,Trevor Lewis,C,Winnipeg Jets,56,5,5,10,33132,7
8480043,Timothy Liljegren,D,Toronto Maple Leafs,2,0,0,0,1811,1
8479986,Kole Lind,R,Vancouver Canucks,7,0,0,0,5523,-4
8478067,Oskar Lindblom,L,Philadelphia Flyers,50,8,6,14,39545,-9
8476902,Esa Lindell,D,Dallas Stars,56,5,11,16,77887,11
8479324,Ryan Lindgren,D,New York Rangers,51,1,15,16,61184,20
