PLAYER_ID,POS
8477845,D
8473573,C
8478393,R
8471254,L
8470645,G
8470110,D
8471956,L
8476116,C
8471769,D
8466148,R
8474141,R
8470281,D
8475323,C
8478550,L
8475182,D
8470607,D
8476381,R
8476882,L
8473604,C
8467096,D
8473544,C
8475855,R
8471958,D
8475763,C
8470630,D
8475184,L
8475715,L
8468685,G
8474151,D
8476468,C
8468575,C
8470041,L
8471686,D
8473537,L
8474613,C
8468526,C
8471735,D
8475692,R
8474150,C
8477935,C
8475650,L
8474642,L
8468674,D
8475907,L
8473564,R
8476346,L
8470966,D
8476462,D
8470201,R
8470877,R
8477591,R
8476967,D
8477497,C
8471403,G
8471729,D
8470162,C
8469770,D
8476466,L
8474749,D
8470358,R
8471490,R
8473432,R
8471303,D
8469465,D
8471498,R
8477500,C
8477018,D
8477955,L
8468011,G
8471283,L
8474579,D
8467875,L
8467876,C
8474091,C
8475690,D
8468085,R
8476404,C
8470606,R
8470604,C
8475160,L
8474563,D
8469555,D
8468483,R
8470121,D
8471685,C
8473453,C
8473473,L
8474166,D
8474162,D
8475325,C
8476871,L
8471734,G
8471240,D
8476406,C
8475726,R
8474027,D
8471371,R
8470613,D
8474053,C
8475455,D
8475820,R
8476624,C
8476881,C
8474889,G
8466139,C
8468542,D
8476442,L
8470794,C
8476807,D
8466138,C
8476919,C
8471709,D
8468208,R
8474739,C
8471750,G
8470619,C
8476806,R
8471339,R
8470640,D
8470601,D
8473588,R
8477494,L
8470047,C
8474520,D
8475167,D
8474870,C
8473986,L
8476453,R
8476480,C
8476292,L
8474564,C
8471873,D
8477205,D
8477930,C
8476461,C
8474584,D
8473512,C
8476872,C
8475430,D
8473461,G
8478563,D
8477290,L
8476177,R
8474568,D
8475170,C
8468513,D
8474190,R
8468309,D
8469469,C
8471762,C
8474161,R
8473466,C
8478042,R
8475268,L
8475218,D
8475176,D
8467370,C
8476887,L
8468700,C
8474570,C
8467890,D
8475714,C
8477495,D
8474600,D
8471707,L
8470180,L
8467371,C
8471469,G
8475225,C
8470642,D
8474569,C
8475753,D
8471804,C
8468493,D
8478396,D
8468639,D
8477496,C
8469508,C
8476465,D
8474062,C
8475250,C
8475807,C
8476437,C
8475784,L
8470595,C
8473533,C
8474052,L
8471346,R
8470320,G
8470222,D
8470655,R
8470151,D
8470803,C
8471426,R
8476441,D
8470880,G
8477952,C
8474125,D
8476436,R
8474627,C
8468505,C
8476892,D
8474565,D
8471817,R
8475768,L
8474031,D
8471669,C
8470257,L
8475765,R
8471816,D
8473989,L
8473468,D
8475791,L
8468611,C
8476472,D
8471232,L
8475165,C
8473914,C
8478402,C
8476454,C
8471678,L
8473962,L
8476852,D
8474602,D
8471284,D
8477415,L
8475660,G
8476855,R
8473994,L
8474818,D
8474218,D
8475236,C
8470622,R
8469759,C
8471274,D
8469466,R
8477406,C
8476279,D
8475906,D
8468635,L
8477501,R
8474550,G
8469665,D
8474849,L
8475794,C
8469544,L
8469455,C
8475761,R
8474009,C
8474013,D
8471675,C
8464989,C
8475208,D
8476769,R
8470594,G
8471887,R
8473548,R
8470543,L
8471724,D
8473933,D
8476874,D
8471215,C
8474102,L
8478928,L
8467452,D
8478466,R
8475197,D
8467400,D
8471260,L
8475168,C
8470317,D
8474207,D
8462042,R
8473446,D
8476455,L
8477492,C
8471657,L
8470750,C
8478420,R
8477916,R
8471681,R
8471262,C
8467338,L
8473575,G
8477507,D
8476463,D
8473646,L
8475745,C
8471227,G
8476856,D
8477850,D
8475798,C
8476344,C
8475287,L
8469459,C
8475799,R
8470610,L
8469506,R
8470871,L
8474618,D
8474716,D
8470600,D
8470598,L
8475722,L
8469470,D
8475235,L
8478403,C
8474589,C
8475220,L
8471742,D
8476878,L
8470324,D
8473434,G
8475169,L
8475728,L
8467330,C
8475215,G
8473465,L
8470852,L
8475158,C
8475796,D
8477933,R
8477499,D
8473426,D
8467950,G
8474697,D
8476879,D
8475163,R
8475174,D
8474884,C
8474578,D
8477508,C
8470667,L
8470760,D
8470599,L
8467493,R
8476419,C
8471676,R
8474250,C
8475913,R
8474068,C
8474605,D
8476459,C
8474037,L
8476062,R
8473541,G
8468504,R
8475098,C
8474581,D
8476449,D
8475180,C
8471436,D
8475172,C
8473463,R
8470207,L
8475716,D
8473574,L
8469707,R
8470602,D
8476853,D
8474096,C
8471476,L
8476470,D
8471976,C
8474189,C
8471296,D
8470039,L
8476808,C
8476851,C
8475848,R
8470104,D
8467496,D
8471338,C
8474157,L
8473507,D
8469521,C
8471679,G
8470120,R
8475758,R
8474056,D
8474668,R
8473492,L
8470638,C
8475792,R
8470626,L
8474625,R
8475625,D
8467967,C
8478564,C
8471276,C
8476792,D
8473419,L
8471717,D
8476191,D
8476476,D
8477956,R
8471695,G
8474736,C
8475727,C
8475902,D
8475788,C
8470834,D
8475279,D
8477429,C
8477940,L
8470828,D
8471217,L
8473412,C
8476392,C
8474574,D
8471715,G
8473618,L
8477464,C
8476460,C
8471226,R
8470614,D
8469501,R
8476885,D
8471218,R
8476423,C
8469500,L
8472410,C
8472382,D
8474641,C
8475185,C
8478566,C
8476457,D
8475750,D
8475186,D
8475151,R
8469462,L
8473673,D
8471239,G
8476923,D
8470740,R
8473482,L
8469547,R
8471233,C
8474636,G
8474715,R
8475683,G
8471766,R
8471504,R
8474685,L
8470169,C
8475246,D
8471273,C
8473422,L
8468486,L
8476432,C
8475793,C
8471677,D
8476850,D
8474774,D
8476438,L
8475233,D
8469492,D
8477505,C
8471716,L
8470318,D
8475157,C
8471309,R
8476822,C
8471242,D
8470657,G
8471693,D
8468509,D
8477946,C
8470778,L
8474679,C
8475800,L
8470724,D
8467389,C
8475772,C
8474090,D
8475193,L
8468083,C
8473503,G
8475188,D
8475738,C
8474571,L
8471231,C
8476403,D
8462038,R
8477503,C
8471703,R
8477407,L
8475171,D
8470159,C
8471269,D
8471691,C
8476921,L
8469760,D
8476473,D
8470755,R
8476356,L
8469608,G
8474628,D
8468535,C
8474661,D
8475852,G
8466333,D
8473970,L
8473991,D
8474291,C
8477444,L
8474590,D
8466251,L
8474744,C
8474651,G
8475149,C
8475744,C
8469639,C
8475247,C
8471702,D
8475200,D
8468498,D
8471698,R
8471214,L
8477220,D
8468508,R
8476880,R
8475199,D
8476234,G
